# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.misses,1730542755898000000,1730542798046000000,0
VFS.invertedFileNameIndex.requests,1730542755898000000,1730542798046000000,0
VFS.fileChildByName,1730542755898000000,1730542798046000000,0
VFS.fileByIdCache.hits,1730542755898000000,1730542798046000000,0
writeAction.count,1730542755898000000,1730542798046000000,1
writeAction.max.wait.ms,1730542755898000000,1730542798046000000,6
writeAction.wait.ms,1730542755898000000,1730542798046000000,6
writeAction.median.wait.ms,1730542755898000000,1730542798046000000,0
cacheStateStorage.get.duration,1730542755898000000,1730542798046000000,0
cacheStateStorage.set.duration,1730542755898000000,1730542798046000000,48
cacheStateStorage.set.counter,1730542755898000000,1730542798046000000,2
cacheStateStorage.get.counter,1730542755898000000,1730542798046000000,5
jps.app.storage.content.reader.load.component.ms,1730542755898000000,1730542798046000000,6
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1730542755898000000,1730542798046000000,0
jps.global.get.libraries.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1730542755898000000,1730542798046000000,0
jps.global.handle.changed.events.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1730542755898000000,1730542798046000000,3
jps.global.initialize.library.bridges.ms,1730542755898000000,1730542798046000000,0
jps.global.get.library.by.name.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1730542755898000000,1730542798046000000,0
jps.save.global.entities.ms,1730542755898000000,1730542798046000000,26
workspaceModel.sync.entities.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1730542755898000000,1730542798046000000,0
workspaceModel.load.cache.from.file.ms,1730542755898000000,1730542798046000000,0
workspaceModel.global.updates.ms,1730542755898000000,1730542798046000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1730542755898000000,1730542798046000000,0
jps.load.initial.state.ms,1730542755898000000,1730542798046000000,144
workspaceModel.mutableEntityStorage.remove.entity.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.instances.count,1730542755898000000,1730542798046000000,1
workspaceModel.mutableEntityStorage.entities.ms,1730542755898000000,1730542798046000000,5
jps.library.entities.serializer.save.entities.ms,1730542755898000000,1730542798046000000,0
jps.library.entities.serializer.load.entities.ms,1730542755898000000,1730542798046000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1730542755898000000,1730542798046000000,0
workspaceModel.global.apply.state.to.project.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1730542755898000000,1730542798046000000,0
jps.global.handle.before.change.events.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1730542755898000000,1730542798046000000,0
jps.global.get.library.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1730542755898000000,1730542798046000000,0
workspaceModel.load.cache.metadata.from.file.ms,1730542755898000000,1730542798046000000,0
workspaceModel.save.cache.to.file.ms,1730542755898000000,1730542798046000000,0
jps.global.initialize.library.bridges.after.loading.ms,1730542755898000000,1730542798046000000,7
workspaceModel.global.updates.count,1730542755898000000,1730542798046000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1730542755898000000,1730542798046000000,0
jps.app.storage.content.writer.save.component.ms,1730542755898000000,1730542798046000000,8
workspaceModel.mutableEntityStorage.referrers.ms,1730542755898000000,1730542798046000000,0
NonBlockingReadAction.failedExecutionTimeUs,1730542755898000000,1730542798046000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1730542755898000000,1730542798046000000,354865
NonBlockingReadAction.failedExecutionsCount,1730542755898000000,1730542798046000000,0
NonBlockingReadAction.finalizedExecutionsCount,1730542755898000000,1730542798046000000,481
workspaceModel.entityStorageSnapshotImpl.instances.count,1730542755898000000,1730542798046000000,2
FilePageCache.disposedBuffers,1730542755898000000,1730542798046000000,170
FilePageCacheLockFree.totalNativeBytesReclaimed,1730542755898000000,1730542798046000000,0
FilePageCache.uncachedFileAccess,1730542755898000000,1730542798046000000,210
FilePageCache.pageFastCacheHits,1730542755898000000,1730542798046000000,11517
FilePageCacheLockFree.heapBytesInUse,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalBytesWritten,1730542755898000000,1730542798046000000,0
FilePageCache.pageLoads,1730542755898000000,1730542798046000000,170
StorageLockContext.competingThreads.max,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1730542755898000000,1730542798046000000,0
FilePageCache.pageHits,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalPagesReclaimed,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalBytesRequested,1730542755898000000,1730542798046000000,0
DirectByteBufferAllocator.disposed,1730542755898000000,1730542798046000000,123
FilePageCacheLockFree.housekeeperTimeSpentMs,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1730542755898000000,1730542798046000000,0
FilePageCache.totalPageLoadsUs,1730542755898000000,1730542798046000000,751040
FilePageCacheLockFree.housekeeperTurnsSkipped,1730542755898000000,1730542798046000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalPagesReadMs,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1730542755898000000,1730542798046000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1730542755898000000,1730542798046000000,41959424
FilePageCacheLockFree.totalPagesAllocated,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalPagesRequested,1730542755898000000,1730542798046000000,0
FilePageCache.capacityInBytes,1730542755898000000,1730542798046000000,503316478
FilePageCacheLockFree.totalClosedStoragesReclaimed,1730542755898000000,1730542798046000000,0
FilePageCache.maxCacheSizeInBytes,1730542755898000000,1730542798046000000,170934272
DirectByteBufferAllocator.hits,1730542755898000000,1730542798046000000,5
DirectByteBufferAllocator.reclaimed,1730542755898000000,1730542798046000000,47
FilePageCache.pageLoadsAboveSizeThreshold,1730542755898000000,1730542798046000000,0
StorageLockContext.competingThreads.90P,1730542755898000000,1730542798046000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1730542755898000000,1730542798046000000,41959424
FilePageCache.totalPageDisposalsUs,1730542755898000000,1730542798046000000,14444
FilePageCacheLockFree.totalPagesHandedOver,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalPagesWritten,1730542755898000000,1730542798046000000,0
FilePageCacheLockFree.totalPagesWriteMs,1730542755898000000,1730542798046000000,0
DirectByteBufferAllocator.misses,1730542755898000000,1730542798046000000,165
FilePageCache.maxRegisteredFiles,1730542755898000000,1730542798046000000,441
FilePageCacheLockFree.totalBytesRead,1730542755898000000,1730542798046000000,0
StorageLockContext.competingThreads.avg,1730542755898000000,1730542798046000000,0.0
FilePageCacheLockFree.nativeBytesInUse,1730542755898000000,1730542798046000000,0
